Title: The Age, Mass, and Size Distributions of Star Clusters in M51 
Authors: Chandar R., Whitmore B.C., Dinino D., Kennicutt R.C., 
         Chien L.-H., Schinnerer E., Meidt S.
Table: Catalog of Star Clusters in M51
================================================================================
Byte-by-byte Description of file: apj523560t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units     Label  Explanations
--------------------------------------------------------------------------------
   1-  4 I4     ---       ID     Identifier
   6- 12 F7.2   pix       Xpix   X pixel coordinate
  14- 21 F8.2   pix       Ypix   Y pixel coordinate
  23- 33 F11.7  deg       RAdeg  Right Ascension in decimal degrees (J2000) (1)
  35- 44 F10.7  deg       DEdeg  Declination in decimal degrees (J2000) (1)
  46- 52 F7.2   [yr]      logA   Log age (2)
  54- 60 F7.2   [solMass] logM   Log mass (2)
--------------------------------------------------------------------------------
Note (1): The HST images have excellent relative positions but slight offsets
          with respect to the World Coordinate System (WCS). In order to 
          correct the coordinates, we have added -0.0000560 degrees to the 
          Right Ascension and -0.1930 degrees to the Declination.
Note (2): A -999.00 indicates a NULL value.
--------------------------------------------------------------------------------
1316 4595.22  4121.27 202.4613037 47.1864090    6.00    3.98 
1317 5296.91  4120.43 202.4469757 47.1863976    6.80    3.17 
1318 6412.48  4123.39 202.4241638 47.1864319    6.48    3.18 
1319 5917.53  4126.19 202.4342804 47.1864738    6.84    3.42 
1320 2911.23  4128.62 202.4957275 47.1865082    8.06    3.95 
1321 2791.16  4129.51 202.4981842 47.1865234    6.44    3.83 
1322 3632.36  4129.10 202.4809875 47.1865196    8.06    4.02 
1323 6301.05  4130.76 202.4264526 47.1865349    6.74    3.64 
1324 5020.86  4136.82 202.4526062 47.1866264    6.72    2.98 
1325 6358.51  4137.09 202.4252777 47.1866226    9.01    4.58 
1326 2522.48  4145.36 202.5036774 47.1867409    6.86    3.40 
1327 4656.67  4144.83 202.4600525 47.1867371    6.88    3.66 
1328 4676.72  4146.03 202.4596405 47.1867523    8.06    4.11 
1329 6418.32  4145.80 202.4240570 47.1867409    6.72    4.03 
1330 5083.07  4148.03 202.4513397 47.1867790    8.06    4.13 
1331 6653.03  4149.90 202.4192505 47.1867981    6.58    2.89 
1332 5570.24  4150.49 202.4413757 47.1868134    6.86    3.19 
1333 1537.69  4151.70 202.5238037 47.1868210    7.44    3.54 
1334 1185.84  4154.47 202.5309906 47.1868553    6.56    2.88 
1335 5180.53  4163.53 202.4493408 47.1869965    7.91    4.22 
1336 6296.63  4162.75 202.4265442 47.1869774    6.72    2.77 
1337 2695.01  4163.97 202.5001526 47.1870003    6.52    3.22 
1338 1880.21  4165.04 202.5167999 47.1870079    7.81    3.86 
1339 2316.35  4165.17 202.5078888 47.1870155    6.94    3.47 
1340 6086.21  4166.74 202.4308319 47.1870346    6.82    3.97 
1341 2860.46  4171.06 202.4967651 47.1870995    6.54    3.48 
1342 5467.15  4171.08 202.4434967 47.1870995    7.76    4.10 
1343 6930.95  4175.89 202.4135742 47.1871529    8.46    4.33 
1344 3510.22  4181.78 202.4834900 47.1872520    8.06    3.97 
1345 4742.01  4182.49 202.4583130 47.1872597    6.78    3.15 
1346 6063.74  4182.44 202.4312897 47.1872520    8.06    4.15 
1347 3575.04  4184.39 202.4821625 47.1872864    7.54    3.67 
1348 2692.13  4184.74 202.5001984 47.1872902    6.52    3.98 
1349 2240.12  4188.22 202.5094452 47.1873322    6.64    3.06 
1350 2671.64  4189.03 202.5006256 47.1873474    6.46    3.57 
1351 5798.55  4188.53 202.4367218 47.1873398    8.66    4.42 
1352  493.07  4190.92 202.5451508 47.1873550    6.78    2.92 
1353 2272.89  4190.92 202.5087738 47.1873703    6.96    3.35 
1354 6136.98  4192.59 202.4297943 47.1873932    6.78    3.07 
1355  750.69  4193.97 202.5398865 47.1874008    6.78    3.19 
1356 6092.35  4194.58 202.4307098 47.1874199    6.72    3.38 
1357 2744.53  4195.79 202.4991302 47.1874428    6.70    3.36 
1358 5483.59  4201.46 202.4431458 47.1875191    6.78    2.72 
1359 2885.47  4199.95 202.4962463 47.1875000    6.80    3.54 
1360 3335.13  4201.50 202.4870605 47.1875229    8.06    3.98 
1361 4839.91  4202.43 202.4563141 47.1875381    6.80    3.48 
1362 2684.10  4205.60 202.5003662 47.1875763    6.56    3.24 
1363 4303.21  4205.36 202.4672699 47.1875801    6.78    3.21 
1364 2845.01  4206.29 202.4970856 47.1875877    6.86    3.85 
1365 4614.64  4207.46 202.4609070 47.1876068    6.48    3.45 
1366 6255.36  4207.51 202.4273834 47.1875992    6.96    3.66 
1367 2264.85  4210.89 202.5089417 47.1876488    9.26    4.95 
1368 6866.15  4210.98 202.4149017 47.1876411    6.82    3.24 
1369 2621.89  4212.70 202.5016327 47.1876755    6.78    3.22 
1370 2976.35  4214.07 202.4944000 47.1876984    6.78    3.35 
1371 6160.10  4209.80 202.4293213 47.1876335    7.81    4.41 
1372 4269.79  4215.56 202.4679565 47.1877213    6.76    4.20 
1373 2283.81  4217.95 202.5085449 47.1877480    6.74    3.70 
1374 1898.05  4219.12 202.5164337 47.1877594    8.41    4.16 
1375 2508.55  4219.26 202.5039520 47.1877670    8.61    4.55 
1376 2958.46  4219.33 202.4947662 47.1877708    6.70    3.53 
1377 5492.33  4218.91 202.4429779 47.1877632    6.72    3.05 
1378 1417.02  4220.08 202.5262604 47.1877708    6.84    3.15 
1379 3515.60  4220.08 202.4833679 47.1877823   10.16    5.63 
1380 4320.25  4224.10 202.4669342 47.1878395    6.76    3.46 
1381 4659.69  4224.42 202.4599915 47.1878433    6.46    3.84 
1382 6230.84  4225.16 202.4278870 47.1878471    6.78    3.05 
1383 3874.55  4226.59 202.4760437 47.1878738    6.78    3.54 
1384 2356.29  4226.79 202.5070648 47.1878700    7.70    3.81 
1385 5410.86  4226.52 202.4446411 47.1878700    6.96    3.70 
1386 1618.90  4229.44 202.5221405 47.1879005    8.41    4.14 
1387 5664.75  4232.13 202.4394531 47.1879463    6.78    2.80 
1388 6150.89  4234.77 202.4295197 47.1879807    8.36    3.99 
1389 2267.38  4236.39 202.5088806 47.1880035    6.54    3.13 
1390 1503.18  4236.92 202.5245056 47.1880035    6.84    3.33 
1391 3588.74  4240.41 202.4818726 47.1880646    7.86    4.33 
1392 1381.22  4241.20 202.5269928 47.1880608    6.78    3.41 
1393 3836.22  4242.33 202.4768219 47.1880913    6.48    3.40 
1394 4856.65  4242.28 202.4559631 47.1880913    6.84    3.60 
1395 4367.27  4242.99 202.4659729 47.1881027    9.34    5.12 
1396 2746.21  4246.04 202.4990997 47.1881409    6.72    3.25 
1397 3730.93  4250.46 202.4789734 47.1882057    6.90    3.35 
1398 2254.45  4252.62 202.5091553 47.1882286    6.84    3.62 
1399 2729.48  4254.47 202.4994354 47.1882553    8.06    4.26 
1400 4240.79  4254.46 202.4685516 47.1882591    8.01    4.57 
1401 2838.36  4255.22 202.4972229 47.1882668    6.88    4.86 
1402 2911.76  4258.56 202.4957123 47.1883163    9.01    4.98 
1403 5184.61  4257.77 202.4492645 47.1883049    8.01    4.43 
1404 5696.75  4258.59 202.4387970 47.1883125    6.94    3.59 
1405 2756.14  4262.92 202.4989014 47.1883736    8.91    4.32 
1406 2616.65  4264.77 202.5017548 47.1884003    6.52    3.18 
1407 5238.24  4266.95 202.4481659 47.1884308    8.06    4.31 
1408 3432.49  4268.12 202.4850769 47.1884499    6.78    3.57 
1409 5405.43  4267.78 202.4447479 47.1884422    8.96    4.60 
1410 7834.62  4268.22 202.3950958 47.1884270    8.06    4.12 
1411 5431.18  4268.66 202.4442291 47.1884537    6.78    3.28 
1412 6399.00  4268.57 202.4244385 47.1884460    8.06    3.98 
1413 4887.85  4270.86 202.4553223 47.1884880    6.82    3.27 
1414 6056.05  4272.18 202.4314575 47.1884995    7.86    4.04 
1415 2688.16  4276.62 202.5002899 47.1885643    8.06    4.95 
1416 4679.04  4275.86 202.4595947 47.1885567    6.00    4.18 
1417 2835.85  4277.83 202.4972687 47.1885834    8.81    4.54 
1418 2020.24  4278.26 202.5139313 47.1885834    6.56    2.72 
1419 5447.66  4278.29 202.4438934 47.1885872    9.26    5.34 
1420 6149.21  4277.81 202.4295502 47.1885757    6.72    3.24 
1421 2532.19  4282.13 202.5034790 47.1886406    7.74    4.48 
1422 2855.68  4285.47 202.4968567 47.1886864    8.41    4.33 
1423 4365.81  4286.46 202.4660034 47.1887054    8.66    4.57 
1424 1328.78  4288.43 202.5280762 47.1887169    9.48    5.05 
1425 3282.84  4289.90 202.4881287 47.1887512    8.86    4.81 
1426 6124.74  4293.09 202.4300537 47.1887894    7.65    3.81 
1427 4689.17  4295.57 202.4593964 47.1888313    6.38    4.74 
1428 2734.49  4296.88 202.4993439 47.1888466    8.06    4.28 
1429 2017.02  4298.00 202.5140076 47.1888580    6.64    2.95 
1430 6663.90  4297.97 202.4190216 47.1888542    9.38    5.08 
1431 3470.94  4299.13 202.4842834 47.1888809    8.76    5.20 
1432 5704.95  4298.46 202.4386292 47.1888657    6.78    2.97 
1433  397.60  4299.98 202.5471039 47.1888657    6.78    3.26 
1434 4324.71  4299.65 202.4668427 47.1888885    6.66    4.27 
1435 6784.67  4299.79 202.4165649 47.1888771    6.78    2.98 
1436 4447.74  4302.24 202.4643250 47.1889229    6.86    3.70 
1437 4986.86  4303.09 202.4533081 47.1889343    8.06    4.14 
1438 5962.32  4303.14 202.4333649 47.1889305    6.58    2.84 
1439 3229.83  4304.79 202.4892120 47.1889572    8.31    4.68 
1440 6228.07  4305.47 202.4279327 47.1889610    8.76    4.40 
1441 3214.12  4308.59 202.4895325 47.1890106    6.78    3.23 
1442 4408.33  4308.21 202.4651337 47.1890068    6.74    3.26 
1443 2798.77  4311.45 202.4980316 47.1890488    8.86    4.82 
1444 4721.14  4310.35 202.4587402 47.1890373    8.31    4.23 
1445 3168.02  4312.23 202.4904785 47.1890602    8.06    3.98 
1446 3847.49  4313.06 202.4765930 47.1890755    9.97    5.28 
1447 5980.75  4315.75 202.4329834 47.1891060    6.78    3.79 
1448 4174.29  4313.31 202.4699097 47.1890793    6.56    3.36 
1449 4431.22  4317.66 202.4646606 47.1891365    6.00    4.01 
1450 6240.30  4319.00 202.4276886 47.1891479    6.72    3.54 
1451 2668.65  4318.91 202.5006866 47.1891518    7.16    4.05 
1452 2622.11  4319.64 202.5016327 47.1891632    6.78    3.29 
1453  538.40  4321.48 202.5442200 47.1891670    6.84    3.24 
1454 3992.77  4321.24 202.4736176 47.1891861    6.76    4.04 
1455 2782.98  4323.10 202.4983521 47.1892090    6.78    3.03 
1456 5838.38  4324.65 202.4358978 47.1892281    6.00    3.83 
1457 6002.99  4324.33 202.4325409 47.1892242    6.78    3.59 
1458 2551.29  4331.80 202.5030823 47.1893311    6.86    3.19 
1459 3896.39  4332.76 202.4755859 47.1893463    6.78    3.77 
1460 4435.63  4333.88 202.4645691 47.1893616    6.64    4.25 
1461 4137.56  4335.34 202.4706573 47.1893845    6.56    3.70 
1462 3922.53  4336.69 202.4750519 47.1894035    6.78    3.47 
1463 2682.25  4337.25 202.5004120 47.1894073    6.78    2.95 
1464 5330.56  4337.07 202.4462738 47.1894035    6.56    3.53 
1465 2510.23  4338.19 202.5039215 47.1894188    7.51    3.76 
1466 3861.20  4338.55 202.4763184 47.1894264    6.84    3.99 
1467 4346.19  4339.04 202.4664001 47.1894341    9.85    5.74 
1468 4235.27  4339.81 202.4686584 47.1894455    6.58    3.57 
1469 3158.43  4341.93 202.4906769 47.1894722    6.78    3.02 
1470 4281.09  4343.02 202.4677277 47.1894913    6.70    3.73 
1471 4020.48  4344.30 202.4730530 47.1895065    6.86    3.74 
1472 4069.70  4346.90 202.4720459 47.1895447    9.01    4.64 
1473 1221.68  4347.68 202.5302582 47.1895409    7.18    4.02 
1474 2380.81  4347.67 202.5065613 47.1895485    7.65    3.89 
1475 3901.71  4347.33 202.4754791 47.1895485    6.50    3.41 
1476 4356.70  4350.60 202.4661865 47.1895943    6.64    3.66 
1477 6220.50  4351.30 202.4280853 47.1895981    8.16    5.00 
1478 7595.19  4352.24 202.3999939 47.1895981    8.06    4.91 
1479 4003.60  4353.53 202.4734039 47.1896362    6.74    3.63 
1480 4449.74  4353.62 202.4642792 47.1896362    6.76    3.33 
1481 4708.77  4352.31 202.4589844 47.1896172    6.50    3.50 
1482 1980.46  4353.63 202.5147552 47.1896286    6.94    3.37 
1483 7322.98  4357.66 202.4055634 47.1896744    8.36    4.05 
1484 4431.86  4360.63 202.4646454 47.1897354    7.22    3.69 
1485 3828.86  4365.65 202.4769745 47.1898041    6.66    3.81 
1486 4163.59  4365.65 202.4701233 47.1898041    6.74    4.19 
1487 4354.71  4366.56 202.4662170 47.1898155    6.78    3.78 
1488 6017.42  4371.96 202.4322357 47.1898842    6.72    3.22 
1489 3205.00  4373.17 202.4897308 47.1899071    6.72    3.16 
1490 2770.07  4374.41 202.4986115 47.1899223    7.54    3.91 
1491 3897.96  4375.82 202.4755554 47.1899452    6.50    4.05 
1492 5133.80  4375.36 202.4503021 47.1899376    7.81    4.27 
1493 5393.09  4376.30 202.4450073 47.1899490    8.31    4.64 
1494  430.61  4377.76 202.5464325 47.1899490    8.31    4.00 
1495 2492.17  4378.40 202.5042877 47.1899757    7.91    4.35 
1496 4277.83  4378.59 202.4677887 47.1899834    6.78    3.19 
1497 1342.91  4379.77 202.5277863 47.1899872    6.00    3.98 
1498 3933.08  4380.12 202.4748383 47.1900063    6.92    3.84 
1499 3874.92  4381.33 202.4760284 47.1900215    6.52    3.66 
1500 4192.99  4381.39 202.4695282 47.1900215    6.74    3.07 
1501 5515.27  4380.28 202.4425049 47.1900063    7.74    4.04 
1502 6732.65  4380.52 202.4176178 47.1899986    7.59    4.16 
1503 2837.88  4381.89 202.4972229 47.1900291    7.81    4.45 
1504 4143.76  4384.58 202.4705353 47.1900673    6.60    3.69 
1505 5699.44  4383.19 202.4387360 47.1900444    8.76    4.52 
1506 1324.82  4384.75 202.5281525 47.1900558    6.54    3.19 
1507 7407.39  4388.46 202.4038239 47.1901016    8.06    4.32 
1508 8287.55  4387.89 202.3858490 47.1900826    6.78    3.15 
1509 5803.38  4390.00 202.4366150 47.1901360    6.90    3.12 
1510 4163.70  4391.72 202.4701233 47.1901665    6.46    4.44 
1511 4336.93  4390.85 202.4665833 47.1901550    8.06    4.36 
1512 3600.57  4396.71 202.4816437 47.1902351    8.06    4.20 
1513 4842.04  4395.90 202.4562683 47.1902237    7.63    4.89 
1514 4750.54  4396.81 202.4581299 47.1902351    6.58    4.58 
1515 3982.50  4398.62 202.4738312 47.1902618    6.52    3.49 
1516 4658.67  4398.67 202.4600067 47.1902618    6.50    3.93 
1517 4798.60  4400.88 202.4571533 47.1902924    9.11    5.32 
1518 2647.10  4405.08 202.5011292 47.1903496    6.66    3.39 
1519 4146.52  4413.85 202.4704742 47.1904755    6.90    3.25 
1520 3664.04  4406.31 202.4803467 47.1903687    6.84    3.28 
1521 6661.36  4405.81 202.4190826 47.1903496    7.86    4.26 
1522 4231.70  4408.19 202.4687347 47.1903954    8.86    4.87 
1523 4516.21  4408.60 202.4629211 47.1903992    6.52    3.43 
1524 4248.89  4411.53 202.4683838 47.1904411    6.78    3.23 
1525 5735.51  4414.60 202.4380035 47.1904793    8.06    3.91 
1526 2327.29  4417.89 202.5076599 47.1905251    8.06    3.79 
1527 2437.81  4419.04 202.5054016 47.1905403    6.70    2.78 
1528 4267.04  4419.15 202.4680176 47.1905479    6.78    3.73 
1529 3071.01  4420.02 202.4924622 47.1905594    6.60    3.06 
1530 6688.90  4423.70 202.4185181 47.1905975    7.16    3.61 
1531 2864.42  4424.99 202.4966888 47.1906242    6.42    3.79 
1532 2738.74  4427.42 202.4992523 47.1906586    7.70    4.66 
1533 4893.52  4428.03 202.4552155 47.1906700    6.86    3.10 
1534 3676.11  4432.27 202.4800873 47.1907310    6.78    3.59 
1535 4277.98  4432.70 202.4677887 47.1907349    6.80    3.58 
1536 4600.87  4431.77 202.4611969 47.1907234    6.76    4.33 
1537 6715.85  4432.20 202.4179688 47.1907158    6.76    3.08 
1538 2249.73  4434.94 202.5092468 47.1907616    7.53    3.91 
1539 4469.69  4437.00 202.4638672 47.1907959    8.86    4.58 
1540 1195.30  4438.36 202.5308075 47.1907997    6.88    3.37 
1541 6606.14  4437.75 202.4202118 47.1907959    6.86    4.36 
1542 3753.59  4439.15 202.4785156 47.1908264   10.28    5.92 
1543 4011.49  4443.12 202.4732361 47.1908798    6.54    3.92 
1544 4265.67  4444.29 202.4680481 47.1908951    6.26    3.59 
1545 4790.06  4443.78 202.4573212 47.1908875    6.90    4.19 
1546 4739.20  4444.65 202.4583588 47.1909027   10.13    6.06 
1547 6578.98  4444.65 202.4207611 47.1908913    6.86    3.09 
1548 4690.82  4447.36 202.4593506 47.1909409    6.50    3.76 
1549 5595.08  4449.31 202.4408722 47.1909637    8.46    4.85 
1550 6188.32  4449.44 202.4287415 47.1909599    8.01    5.18 
1551 2455.58  4450.90 202.5050354 47.1909828    6.64    2.98 
1552 4824.63  4451.09 202.4566193 47.1909904    7.16    4.68 
1553 5707.59  4451.78 202.4385681 47.1909981    8.46    4.61 
1554 7040.00  4452.26 202.4113464 47.1909904    8.06    4.45 
1555 3721.19  4454.77 202.4791718 47.1910439    8.16    4.38 
1556 6348.79  4457.65 202.4254608 47.1910744    7.81    4.55 
1557 2399.02  4458.94 202.5061951 47.1910934    6.74    3.35 
1558 4323.13  4459.15 202.4668732 47.1911049    6.40    3.79 
1559 3987.17  4463.86 202.4737396 47.1911697    6.78    3.84 
1560 4306.69  4465.44 202.4672089 47.1911888    6.56    4.13 
1561 6619.96  4464.78 202.4199219 47.1911697    6.82    2.89 
1562 2998.56  4469.43 202.4939423 47.1912422    8.46    4.29 
1563 3666.38  4469.60 202.4803009 47.1912498    6.90    3.64 
1564 4047.01  4468.85 202.4725189 47.1912384    6.68    4.24 
1565 2710.03  4470.75 202.4998474 47.1912613    8.06    4.41 
1566  522.69  4475.12 202.5445557 47.1913033    8.06    4.45 
1567 6592.68  4475.11 202.4204865 47.1913147    6.78    2.94 
1568 4774.70  4475.43 202.4576416 47.1913300    6.56    3.44 
1569 3628.56  4477.18 202.4810638 47.1913528    7.86    4.03 
1570 6492.50  4477.17 202.4225311 47.1913452    8.46    4.12 
1571 6691.10  4481.05 202.4184723 47.1913948    7.74    3.96 
1572 4628.04  4481.98 202.4606323 47.1914215    6.78    3.94 
1573 2729.68  4482.60 202.4994354 47.1914253    7.59    3.96 
1574 7155.75  4483.77 202.4089661 47.1914291    6.78    3.13 
1575 4303.71  4486.00 202.4672699 47.1914749    6.64    3.46 
1576 3555.34  4490.83 202.4825592 47.1915436    7.81    3.94 
1577 4601.84  4493.65 202.4611664 47.1915817    6.72    3.71 
1578 3089.75  4495.02 202.4920807 47.1916008    6.88    3.52 
1579 4800.20  4494.43 202.4571228 47.1915932    8.81    5.09 
1580 2705.24  4497.07 202.4999390 47.1916275    8.06    4.26 
1581 1946.15  4499.40 202.5154572 47.1916542    6.82    3.39 
1582 3976.89  4499.10 202.4739532 47.1916580    6.72    3.83 
1583 1196.12  4503.41 202.5307770 47.1917038    6.82    3.06 
1584 2449.99  4503.45 202.5051575 47.1917152    9.01    4.61 
1585 3956.77  4502.88 202.4743652 47.1917114    6.88    3.94 
1586 3795.47  4505.74 202.4776611 47.1917496    9.26    5.03 
1587 3555.30  4507.11 202.4825592 47.1917686    6.64    3.09 
1588 6524.60  4506.59 202.4218750 47.1917534    6.78    2.98 
1589 2130.34  4508.50 202.5116882 47.1917801    7.58    4.72 
1590 2667.07  4508.33 202.5007172 47.1917839    9.01    4.46 
1591 5706.60  4508.17 202.4385986 47.1917801    7.49    4.08 
1592 4726.47  4509.97 202.4586334 47.1918068   10.10    5.96 
1593 4621.78  4511.00 202.4607697 47.1918221    6.72    3.36 
1594 1216.79  4511.60 202.5303650 47.1918182    6.58    2.81 
1595 3026.26  4511.87 202.4933777 47.1918335    7.86    3.71 
1596 3497.05  4512.48 202.4837494 47.1918449    7.74    4.47 
1597 4219.28  4511.74 202.4689941 47.1918335    6.58    3.45 
1598 1667.15  4513.76 202.5211639 47.1918526    7.16    3.72 
1599 2482.40  4513.23 202.5044861 47.1918488    8.06    4.03 
1600 1177.95  4515.63 202.5311584 47.1918716    6.40    3.52 
1601 7300.45  4517.46 202.4060211 47.1918945    8.56    4.66 
1602 1861.81  4519.04 202.5171814 47.1919250    7.14    4.16 
1603 6364.83  4519.20 202.4251404 47.1919289    7.74    4.18 
1604 5414.01  4522.46 202.4445801 47.1919785    6.60    3.36 
1605 3803.79  4528.35 202.4774780 47.1920662    6.74    3.73 
1606 6441.80  4528.33 202.4235687 47.1920547    6.86    3.29 
1607 2707.48  4529.11 202.4998932 47.1920700    8.06    4.66 
1608 3562.36  4529.13 202.4824219 47.1920738    7.59    4.03 
1609 5912.90  4529.36 202.4343719 47.1920738    8.81    4.44 
1610 3476.12  4531.09 202.4841766 47.1921005    7.51    3.95 
1611 1222.32  4533.24 202.5302429 47.1921158    6.86    4.00 
1612 4304.43  4532.97 202.4672546 47.1921272    6.72    3.69 
1613 3738.25  4534.30 202.4788208 47.1921463    6.74    3.67 
1614 5941.87  4536.04 202.4337769 47.1921654    8.01    4.12 
1615 7189.81  4538.26 202.4082794 47.1921844    8.06    4.47 
1616 3372.17  4538.99 202.4863129 47.1922112    7.52    4.10 
1617 4722.39  4539.31 202.4587097 47.1922150    6.50    3.47 
1618 2550.14  4541.33 202.5031128 47.1922417    8.31    4.25 
1619 3257.71  4541.57 202.4886475 47.1922455    6.88    3.44 
1620 3444.09  4541.34 202.4848328 47.1922455    6.00    3.96 
1621 4602.67  4540.70 202.4611511 47.1922340    6.64    3.40 
1622 6088.78  4542.33 202.4307861 47.1922531    7.74    3.98 
1623 5965.69  4544.32 202.4333038 47.1922798    7.72    3.82 
1624 4149.29  4547.08 202.4704285 47.1923256    6.50    3.64 
1625 5001.94  4547.06 202.4529877 47.1923218    7.96    3.94 
1626 6976.75  4548.47 202.4126282 47.1923294    9.98    5.84 
1627 4175.41  4549.07 202.4698944 47.1923523    6.58    3.96 
1628 4282.48  4549.37 202.4676971 47.1923561    6.64    3.89 
1629 2514.54  4551.97 202.5038300 47.1923866    6.86    3.31 
1630 3422.58  4551.84 202.4852753 47.1923904    8.01    4.50 
1631 5779.66  4555.63 202.4371033 47.1924400    6.58    3.18 
1632 3648.13  4553.72 202.4806671 47.1924171    6.86    4.25 
1633 2281.37  4554.61 202.5086060 47.1924248    6.78    3.19 
1634 3608.91  4555.58 202.4814758 47.1924438    7.59    4.82 
1635 4416.53  4557.48 202.4649658 47.1924706    6.64    3.57 
1636 3907.21  4558.07 202.4753723 47.1924782    9.26    5.28 
1637 6043.03  4557.63 202.4317169 47.1924629    7.72    4.62 
1638 4376.99  4559.23 202.4657745 47.1924934    6.54    3.70 
1639 5997.95  4558.99 202.4326324 47.1924820    8.31    4.50 
1640 3720.27  4561.48 202.4791870 47.1925240    7.68    4.51 
1641 6336.11  4561.56 202.4257202 47.1925163    6.72    3.51 
1642 4162.87  4559.54 202.4701385 47.1924973    6.46    3.74 
1643 7060.96  4564.08 202.4109039 47.1925468    8.06    4.26 
1644 3553.40  4565.47 202.4826050 47.1925812    6.82    3.15 
1645 7030.91  4564.98 202.4115295 47.1925583    6.66    2.91 
1646 6557.70  4566.38 202.4211884 47.1925812    6.78    3.30 
